SiteId,Site Type,System Name,x,y,z,Region (Calculated),Region (Journal),Primary Star,Body Name,POI Id,Body Sub Type,Gravity,Distance To Arrival,Surface Temperature,Volcanism,Orbital Period,Rotational Period,Orbital Eccentricity,Discovered By
1,Beta,SYNUEFE XR-H D11-102,357.34375,-49.34375,-74.75,Inner Orion Spur,Inner Orion Spur,F (White) Star, 1 B,,Rocky body,0.1331717154,797,299,No volcanism,6.915614009,-6.915672805,0.000494,MauserPT7
2,Beta,IC 2391 SECTOR GW-V B2-4,587.9375,-51.03125,-38.53125,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, B 1,,High metal content world,0.2584014782,2653,221,No volcanism,22.68257861,22.68258903,0.000057,Dave Hedgehog
3,Alpha,IC 2391 SECTOR ZE-A D101,526.5,-86.375,-37.9375,Inner Orion Spur,Inner Orion Spur,F (White) Star, C 3,,High metal content world,0.2195304928,337364,300,No volcanism,7.505649011,7.453341245,0.00448,Noob Van Noob
4,Beta,SYNUEFE XO-P C22-17,546.90625,-56.46875,-97.8125,Inner Orion Spur,Inner Orion Spur,K (Yellow-Orange) Star, C 1,,High metal content world,0.2668117543,1428,244,No volcanism,6.435735772,6.43575571,0.001164,ArchAngel-7
5,Alpha,SYNUEFE ZL-J D10-119,834.21875,-51.21875,-154.65625,Inner Orion Spur,Inner Orion Spur,F (White) Star, 9 B,,Rocky body,0.1544058636,1071,230,No volcanism,2.942772513,2.942806027,0.012392,Berk Froster
6,Beta,COL 173 SECTOR KY-Q D5-47,1043.875,-100.75,-246.0625,Inner Orion Spur,Inner Orion Spur,F (White) Star, 8 C,,Rocky body,0.1474413188,1011,229,No volcanism,8.510914252,8.511092788,0.002161,zzz_Unknown
7,Alpha,COL 173 SECTOR KY-Q D5-47,1043.875,-100.75,-246.0625,Inner Orion Spur,Inner Orion Spur,F (White) Star, 8 C,,Rocky body,0.1474413188,1011,229,No volcanism,8.510914252,8.511092788,0.002161,zzz_Unknown
8,Beta,HIP 39768,866.59375,-119.125,-109.03125,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, A 14 F,,Rocky body,0.1977382524,7063,283,No volcanism,70.8001783,70.80025737,0.001446,Elrith
9,Gamma,SYNUEFE TP-F B44-0,838.75,-197.84375,-111.84375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, CD 1,,High metal content world,0.2875691834,1208,295,Major Silicate Vapour Geysers,0.3643482096,0.5927261617,0.120065,Elrith
10,Beta,SYNUEFE TP-F B44-0,838.75,-197.84375,-111.84375,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, CD 1,,High metal content world,0.2875691834,1208,295,Major Silicate Vapour Geysers,0.3643482096,0.5927261617,0.120065,Braden Fanguard
